Date,Active Energy (kJ),Flights Climbed (count),Headphone Audio Exposure (dBASPL),Resting Energy (kJ),Sleep Analysis [In Bed] (hr),Step Count (steps),Walking + Running Distance (km),Walking Asymmetry Percentage (%),Walking Double Support Percentage (%),Walking Heart Rate Average (bpm),Walking Speed (km/hr),Walking Step Length (cm)
1/13/2024 0:00,92.04,3,0,8260,7.234111523,755,0.556,0,28.37,0,4.17,63.75
1/14/2024 0:00,711.66,3,0,8515,5.588867089,4028,3.26,3.5,27.94,0,4.59,71.56
1/15/2024 0:00,945.62,2,0,8546,0,5301,4.34,4.2,28.37,0,4.38,70.6
1/16/2024 0:00,174.56,2,0,8432,7.683835745,1040,0.801,0,25.5,0,5.15,79
1/17/2024 0:00,975.19,5,0,8535,6.670717718,5433,4.33,1.78,27.68,0,4.74,73.19
1/18/2024 0:00,644.07,3,0,8490,6.842949105,3601,2.89,2.2,27.66,0,4.71,72.91
1/19/2024 0:00,832.92,1,0,8517,5.862693274,5087,4.03,1.17,28.29,0,4.47,66.17
1/20/2024 0:00,153.14,1,0,8428,4.680464056,1069,0.775,0,0,0,0,0
1/21/2024 0:00,928.7,3,0,8529,0,5013,4.11,3.43,28.49,0,4.42,70.26
1/22/2024 0:00,103.31,3,0,8421,5.629879615,608,0.457,0,31.4,0,3.15,51
1/23/2024 0:00,534.46,2,0,8489,4.482506132,3248,2.53,12.8,29.38,0,3.78,58.3
1/24/2024 0:00,1010,3,0,8526,5.2166453,4903,4.19,0.875,27.7,0,4.91,75.72
1/25/2024 0:00,1463,2,0,8540,0,6456,5.8,3.75,28.71,0,4.42,70.28
1/26/2024 0:00,105.8,4,0,8431,4.171154178,735,0.532,1,29.1,0,4.61,70
1/27/2024 0:00,228.67,5,0,8424,6.169773313,1531,1.11,0,28.98,0,4.72,75.4
1/28/2024 0:00,1305,5,0,8559,0,6823,5.69,3.67,29.42,0,4.29,66.47
1/29/2024 0:00,116.74,3,0,8418,4.947592063,835,0.62,0,24.8,0,6.01,79
